year	slug	file_slug	status	bytes	type
2008	statisticke-prehledy-kriminality-za-rok-2008	01-celkova-kriminalita-za-obdobi-od-01-01-2008-do-31-05-2008	200	683008	xls
2008	statisticke-prehledy-kriminality-za-rok-2008	02-celkova-kriminalita-za-obdobi-od-01-01-2008-do-30-06-2008	200	630272	xls
2008	statisticke-prehledy-kriminality-za-rok-2008	03-celkova-kriminalita-za-obdobi-od-01-01-2008-do-31-07-2008	200	638976	xls
2008	statisticke-prehledy-kriminality-za-rok-2008	04-celkova-kriminalita-za-obdobi-od-01-01-2008-do-31-08-2008	200	681984	xls
2008	statisticke-prehledy-kriminality-za-rok-2008	05-celkova-kriminalita-za-obdobi-od-01-01-2008-do-30-09-2008	200	686592	xls
2008	statisticke-prehledy-kriminality-za-rok-2008	06-celkova-kriminalita-za-obdobi-od-01-01-2008-do-31-10-2008	200	630272	xls
2008	statisticke-prehledy-kriminality-za-rok-2008	07-celkova-kriminalita-za-obdobi-od-01-01-2008-do-30-11-2008	200	630272	xls
2008	statisticke-prehledy-kriminality-za-rok-2008	08-celkova-kriminalita-za-obdobi-od-01-01-2008-do-31-12-2008	200	630272	xls
2008	statisticke-prehledy-kriminality-za-rok-2008	statistiky-2008-rar	SKIP_ARCHIVE	0	archive
2008	statisticke-prehledy-kriminality-za-rok-2008	statistiky-2008-zip	SKIP_ARCHIVE	0	archive
2009	statisticke-prehledy-kriminality-za-rok-2009	01-celkova-kriminalita-za-obdobi-od-01-01-2009-do-31-01-2009	200	630272	xls
2009	statisticke-prehledy-kriminality-za-rok-2009	02-celkova-kriminalita-za-obdobi-od-01-01-2009-do-28-02-2009	200	638464	xls
2009	statisticke-prehledy-kriminality-za-rok-2009	03-celkova-kriminalita-za-obdobi-od-01-01-2009-do-31-03-2009	200	638464	xls
2009	statisticke-prehledy-kriminality-za-rok-2009	04-celkova-kriminalita-za-obdobi-od-01-01-2009-do-30-04-2009	200	676864	xls
2009	statisticke-prehledy-kriminality-za-rok-2009	05-celkova-kriminalita-za-obdobi-od-01-01-2009-do-31-05-2009	200	677888	xls
2009	statisticke-prehledy-kriminality-za-rok-2009	06-celkova-kriminalita-za-obdobi-od-01-01-2009-do-30-06-2009	200	679424	xls
2009	statisticke-prehledy-kriminality-za-rok-2009	07-celkova-kriminalita-za-obdobi-od-01-01-2009-do-31-07-2009	200	628736	xls
2009	statisticke-prehledy-kriminality-za-rok-2009	08-celkova-kriminalita-za-obdobi-od-01-01-2009-do-31-08-2009	200	630272	xls
2009	statisticke-prehledy-kriminality-za-rok-2009	09-celkova-kriminalita-za-obdobi-od-01-01-2009-do-30-09-2009	200	680960	xls
2009	statisticke-prehledy-kriminality-za-rok-2009	10-celkova-kriminalita-za-obdobi-od-01-01-2009-do-31-10-2009	200	630272	xls
2009	statisticke-prehledy-kriminality-za-rok-2009	11-celkova-kriminalita-za-obdobi-od-01-01-2009-do-30-11-2009	200	683008	xls
2009	statisticke-prehledy-kriminality-za-rok-2009	12-celkova-kriminalita-za-obdobi-od-01-01-2009-do-31-12-2009	200	630272	xls
2009	statisticke-prehledy-kriminality-za-rok-2009	statistiky-2009-rar	SKIP_ARCHIVE	0	archive
2009	statisticke-prehledy-kriminality-za-rok-2009	statistiky-2009-zip	SKIP_ARCHIVE	0	archive
2010	statisticke-prehledy-kriminality-za-rok-2010	01-celkova-kriminalita-za-obdobi-od-01-01-2010-do-31-01-2010	200	817152	xls
2010	statisticke-prehledy-kriminality-za-rok-2010	02-celkova-kriminalita-za-obdobi-od-01-01-2010-do-28-02-2010	200	817152	xls
2010	statisticke-prehledy-kriminality-za-rok-2010	03-celkova-kriminalita-za-obdobi-od-01-01-2010-do-31-03-2010	200	812032	xls
2010	statisticke-prehledy-kriminality-za-rok-2010	04-celkova-kriminalita-za-obdobi-od-01-01-2010-do-30-04-2010	200	914432	xls
2010	statisticke-prehledy-kriminality-za-rok-2010	05-celkova-kriminalita-za-obdobi-od-01-01-2010-do-31-05-2010	200	925184	xls
2010	statisticke-prehledy-kriminality-za-rok-2010	06-celkova-kriminalita-za-obdobi-od-01-01-2010-do-30-06-2010	200	925184	xls
2010	statisticke-prehledy-kriminality-za-rok-2010	07-celkova-kriminalita-za-obdobi-od-01-01-2010-do-31-07-2010	200	846848	xls
